HDR,ROLLING SYSTEM DEMAND
VD,20210101220000,30730
VD,20210101220500,30744
VD,20210101221000,30398
VD,20210101221500,30132
VD,20210101222000,29924
VD,20210101222500,29651
VD,20210101223000,29479
VD,20210101223500,29400
VD,20210101224000,29315
VD,20210101224500,29078
VD,20210101225000,28894
VD,20210101225500,28662
VD,20210101230000,28384
VD,20210101230500,27929
VD,20210101231000,27633
VD,20210101231500,27322
VD,20210101232000,27081
VD,20210101232500,26860
VD,20210101233000,26629
VD,20210101233500,26574
VD,20210101234000,26472
VD,20210101234500,26349
VD,20210101235000,26127
VD,20210101235500,26075
VD,20210102000000,26014
VD,20210102000500,26129
VD,20210102001000,26141
VD,20210102001500,26130
VD,20210102002000,26148
VD,20210102002500,26197
VD,20210102003000,26200
VD,20210102003500,26371
VD,20210102004000,26478
VD,20210102004500,26519
VD,20210102005000,26560
VD,20210102005500,26726
VD,20210102010000,26560
VD,20210102010500,26468
VD,20210102011000,26359
VD,20210102011500,26136
VD,20210102012000,25986
VD,20210102012500,25861
VD,20210102013000,25790
VD,20210102013500,25827
VD,20210102014000,25909
VD,20210102014500,25922
VD,20210102015000,25791
VD,20210102015500,25742
VD,20210102020000,25677
VD,20210102020500,25805
VD,20210102021000,25809
VD,20210102021500,25738
VD,20210102022000,25636
VD,20210102022500,25590
VD,20210102023000,25506
VD,20210102023500,25345
VD,20210102024000,25302
VD,20210102024500,25236
VD,20210102025000,25121
VD,20210102025500,25202
VD,20210102030000,25224
VD,20210102030500,25330
VD,20210102031000,25213
VD,20210102031500,25192
VD,20210102032000,25142
VD,20210102032500,25104
VD,20210102033000,25128
VD,20210102033500,25087
VD,20210102034000,25034
VD,20210102034500,24920
VD,20210102035000,24885
VD,20210102035500,24763
VD,20210102040000,24716
VD,20210102040500,24853
VD,20210102041000,24872
VD,20210102041500,24862
VD,20210102042000,24889
VD,20210102042500,24822
VD,20210102043000,24782
VD,20210102043500,24774
VD,20210102044000,24710
VD,20210102044500,24684
VD,20210102045000,24640
VD,20210102045500,24694
VD,20210102050000,24769
VD,20210102050500,24897
VD,20210102051000,24972
VD,20210102051500,25066
VD,20210102052000,25119
VD,20210102052500,25137
VD,20210102053000,25141
VD,20210102053500,25178
VD,20210102054000,25060
VD,20210102054500,25106
VD,20210102055000,25174
VD,20210102055500,25503
VD,20210102060000,25746
