HDR,ROLLING SYSTEM DEMAND
VD,20210108000000,31569
VD,20210108000500,31850
VD,20210108001000,31808
VD,20210108001500,31742
VD,20210108002000,31622
VD,20210108002500,31618
VD,20210108003000,31682
VD,20210108003500,32080
VD,20210108004000,32193
VD,20210108004500,32229
VD,20210108005000,32232
VD,20210108005500,32203
VD,20210108010000,32165
VD,20210108010500,32405
VD,20210108011000,32393
VD,20210108011500,32387
VD,20210108012000,32353
VD,20210108012500,32279
VD,20210108013000,32174
VD,20210108013500,32052
VD,20210108014000,31954
VD,20210108014500,31904
VD,20210108015000,31744
VD,20210108015500,31626
VD,20210108020000,31516
VD,20210108020500,31305
VD,20210108021000,31203
VD,20210108021500,31080
VD,20210108022000,30987
VD,20210108022500,31027
VD,20210108023000,30995
VD,20210108023500,31035
VD,20210108024000,30944
VD,20210108024500,30858
VD,20210108025000,30752
VD,20210108025500,30713
VD,20210108030000,30620
VD,20210108030500,30641
VD,20210108031000,30568
VD,20210108031500,30485
VD,20210108032000,30388
VD,20210108032500,30301
VD,20210108033000,30183
VD,20210108033500,30127
VD,20210108034000,30078
VD,20210108034500,30084
VD,20210108035000,30022
VD,20210108035500,29978
VD,20210108040000,30112
VD,20210108040500,30429
VD,20210108041000,30564
VD,20210108041500,30523
VD,20210108042000,30477
VD,20210108042500,30457
VD,20210108043000,30434
VD,20210108043500,30489
VD,20210108044000,30557
VD,20210108044500,30534
VD,20210108045000,30510
VD,20210108045500,30624
VD,20210108050000,30952
VD,20210108050500,31610
VD,20210108051000,32069
VD,20210108051500,32207
VD,20210108052000,32224
VD,20210108052500,32276
VD,20210108053000,32263
VD,20210108053500,32385
VD,20210108054000,32532
VD,20210108054500,32668
VD,20210108055000,32834
VD,20210108055500,33214
VD,20210108060000,33445
VD,20210108060500,34111
VD,20210108061000,34688
VD,20210108061500,35045
VD,20210108062000,35234
VD,20210108062500,35482
VD,20210108063000,35657
VD,20210108063500,35827
VD,20210108064000,36235
VD,20210108064500,36520
VD,20210108065000,36777
VD,20210108065500,36955
VD,20210108070000,36862
VD,20210108070500,36641
VD,20210108071000,36767
VD,20210108071500,37041
VD,20210108072000,37244
VD,20210108072500,37620
VD,20210108073000,38146
VD,20210108073500,38285
VD,20210108074000,38269
VD,20210108074500,38646
VD,20210108075000,39022
VD,20210108075500,39388
VD,20210108080000,39556
VD,20210108080500,39544
VD,20210108081000,39701
VD,20210108081500,40027
VD,20210108082000,40306
VD,20210108082500,40666
VD,20210108083000,40797
VD,20210108083500,40828
VD,20210108084000,40947
VD,20210108084500,41008
VD,20210108085000,41165
VD,20210108085500,41395
VD,20210108090000,41402
VD,20210108090500,41905
VD,20210108091000,42057
VD,20210108091500,41988
VD,20210108092000,42104
VD,20210108092500,42223
VD,20210108093000,42269
VD,20210108093500,42219
VD,20210108094000,42233
VD,20210108094500,42283
VD,20210108095000,42330
VD,20210108095500,42479
VD,20210108100000,42468
VD,20210108100500,42573
VD,20210108101000,42648
VD,20210108101500,42641
VD,20210108102000,42527
VD,20210108102500,42520
VD,20210108103000,42604
VD,20210108103500,42681
VD,20210108104000,42740
VD,20210108104500,42723
VD,20210108105000,42676
VD,20210108105500,42644
VD,20210108110000,42586
